name,city,state,country,lat,lon,type,times_played,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29
Broome County Forum,Binghamton,NY,USA,42.0986867,-75.9179738,city,2,11/23/92,3/20/92,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Campus Pub, Binghamton College",Binghamton,NY,USA,42.0986867,-75.9179738,city,1,9/22/88,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Five Points South Music Hall,Birmingham,AL,USA,33.570499,-86.765783,residential,1,5/2/94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana University Auditorium,Bloomington,IN,USA,39.1670396,-86.5342881,city,1,11/19/94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Parking Lot, Indiana University Aud...",Bloomington,IN,USA,39.1670396,-86.5342881,city,1,11/19/94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haas Center for the Arts,Bloomsburg,PA,USA,41.0041213,-76.453816,administrative,1,2/11/93,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boise State University Pavilion,Boise,ID,USA,43.615046,-116.2044429,city,2,9/14/99,6/7/95,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verizon Wireless Amphitheater Kansa...,Bonner Springs,KS,USA,39.059726,-94.8835754,city,1,7/17/03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Varsity Gym, Appalachian State Univ...",Boone,NC,USA,36.216795,-81.6745517,administrative,1,10/26/94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Garden,Boston,MA,USA,42.3604823,-71.0595678,city,2,12/31/94,10/30/92,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Harbor,Boston,MA,USA,42.3604823,-71.0595678,city,1,6/1/86,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston World Trade Center Exhibitio...,Boston,MA,USA,42.3604823,-71.0595678,city,2,12/31/89,12/31/90,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fenway Park,Boston,MA,USA,42.3463025,-71.09713043,stadium,1,5/31/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FleetCenter,Boston,MA,USA,42.3604823,-71.0595678,city,3,12/16/03,12/2/03,12/31/96,12/30/96,,,,,,,,,,,,,,,,,,,,,,,,,
Hard Rock Cafe,Boston,MA,USA,42.3608989,-71.0552173,restaurant,1,1/28/93,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Matthews Arena, Northeastern University",Boston,MA,USA,42.3604823,-71.0595678,city,1,12/31/92,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Molly's Cafe,Boston,MA,USA,42.3604823,-71.0595678,city,2,12/2/88,11/3/88,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Reception Hall, Swissutel",Boston,MA,USA,42.3604823,-71.0595678,city,1,12/1/01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Paradise,Boston,MA,USA,42.3518676,-71.1194234,music_club,7,11/27/10,9/7/08,10/4/06,5/30/06,12/29/04,10/10/02,4/6/01,,,,,,,,,,,,,,,,,,,,,,
The Wang Center,Boston,MA,USA,42.349542,-71.0647733,yes,1,4/7/93,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wendell Studios,Boston,MA,USA,42.3604823,-71.0595678,city,1,6/17/90,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Balch Fieldhouse, University of Colorado",Boulder,CO,USA,40.102555,-105.3632079,administrative,2,4/4/92,3/13/93,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boulder Theater,Boulder,CO,USA,40.102555,-105.3632079,administrative,4,3/14/14,1/25/08,7/15/07,6/21/05,11/19/02,5/20/99,10/30/91,3/13/91,11/3/90,4/19/90,,,,,,,,,,,,,,,,,,,
"Glenn Miller Ballroom, University o...",Boulder,CO,USA,40.102555,-105.3632079,administrative,1,11/2/90,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.J. McCabe's,Boulder,CO,USA,40.102555,-105.3632079,administrative,1,4/5/90,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KBCO Studios,Boulder,CO,USA,40.102555,-105.3632079,administrative,1,11/3/98,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Quigley's, University of Colorado",Boulder,CO,USA,40.102555,-105.3632079,administrative,1,4/4/90,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Field House, Montana State University",Bozeman,MT,USA,45.6799842,-111.0446748,city,1,11/28/94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ten Mile Room,Breckenridge,CO,USA,39.4816537,-106.0383518,administrative,2,3/16/91,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota Park,Bridgeview,IL,USA,41.76490959,-87.8061371,stadium,2,6/11/10,8/11/09,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nissan Pavilion at Stone Ridge,Bristow,VA,USA,38.7228946,-77.5361005,hamlet,1,6/10/06,6/17/95,,,,,,,,,,,,,,,,,,,,,,,,,,,
KeySpan Park,Brooklyn,NY,USA,40.6501038,-73.9495823,suburb,2,6/18/04,6/17/04,,,,,,,,,,,,,,,,,,,,,,,,,,,
1stBank Center,Broomfield,CO,USA,39.9044821,-105.0854248,stadium,3,10/12/10,10/11/10,10/10/10,10/9/10,,,,,,,,,,,,,,,,,,,,,,,,,
Bowdoin College,Brunswick,ME,USA,43.9091357,-69.9625464,school,1,9/1/89,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Moulton Union, Bowdoin College",Brunswick,ME,USA,43.9145244,-69.9653278,administrative,1,4/28/89,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ancienne Belgique,Brussels,0,Belgium,50.84704985,4.349379711,theatre,1,7/1/92,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Le Botanique,Brussels,0,Belgium,50.8531126,4.3651223,bus_stop,1,2/14/97,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alumni Arena, SUNY Buffalo",Buffalo,NY,USA,42.8864468,-78.8783689,city,1,4/10/94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marine Midland Arena,Buffalo,NY,USA,42.8864468,-78.8783689,city,1,10/19/96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nietzsche's,Buffalo,NY,USA,42.8864468,-78.8783689,city,1,4/19/91,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Rink,Buffalo,NY,USA,42.8482644,-78.8113995,sports_centre,1,9/28/91,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBC Studios,Burbank,CA,USA,34.181547,-118.3084489,city,1,10/3/00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First Niagara Pavilion,Burgettstown,PA,USA,40.3820133,-80.3928423,administrative,1,6/23/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post-Gazette Pavilion,Burgettstown,PA,USA,40.3820133,-80.3928423,administrative,1,6/18/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post-Gazette Pavilion at Star Lake,Burgettstown,PA,USA,40.3820133,-80.3928423,administrative,1,6/23/12,6/18/09,7/29/03,7/7/00,7/21/99,8/11/98,8/13/97,,,,,,,,,,,,,,,,,,,,,,
320 Spear Street,Burlington,VT,USA,44.457613,-73.189747,tertiary,1,5/21/89,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69 Grant Street,Burlington,VT,USA,44.4821485,-73.21078092,house,1,10/23/84,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Battery Park,Burlington,VT,USA,44.48061181,-73.21987663,park,1,9/16/05,7/11/91,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burlington Boat House,Burlington,VT,USA,44.4723989,-73.2114941,city,1,8/12/89,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Contois Auditorium, City Hall",Burlington,VT,USA,44.4723989,-73.2114941,city,1,12/16/89,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cork's,Burlington,VT,USA,44.4723989,-73.2114941,city,2,10/24/87,10/23/87,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doolin's,Burlington,VT,USA,44.4723989,-73.2114941,city,7,3/29/85,3/16/85,3/8/85,2/25/85,2/22/85,2/15/85,,,,,,,,,,,,,,,,,,,,,,,
Finbar's,Burlington,VT,USA,44.4723989,-73.2114941,city,4,9/10/86,10/17/85,5/7/85,4/6/85,,,,,,,,,,,,,,,,,,,,,,,,,
Fishman's House,Burlington,VT,USA,44.4723989,-73.2114941,city,1,5/14/95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gymnasium, University of Vermont",Burlington,VT,USA,44.4723989,-73.2114941,city,1,12/16/88,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halverson's,Burlington,VT,USA,44.4723989,-73.2114941,city,1,6/24/88,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harris-Millis Cafeteria - Universit...,Burlington,VT,USA,44.4723989,-73.2114941,city,2,10/30/83,12/2/83,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hunt's,Burlington,VT,USA,44.4723989,-73.2114941,city,16,11/19/87,11/18/87,10/14/87,9/3/87,9/2/87,1/21/87,1/19/87,10/15/86,9/3/86,5/24/86,4/1/86,2/3/86,10/30/85,4/19/85,3/4/85,3/2/85,,,,,,,,,,,,,
"Living and Learning Center, Univers...",Burlington,VT,USA,44.4723989,-73.2114941,city,2,2/26/88,3/3/89,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Marsh / Austin / Tupper Dormitory, ...",Burlington,VT,USA,44.4723989,-73.2114941,city,1,12/3/83,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Marsh Hall Dining Room, University ...",Burlington,VT,USA,44.4723989,-73.2114941,city,1,11/7/86,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Memorial Auditorium Basement,Burlington,VT,USA,44.4723989,-73.2114941,city,2,5/16/86,11/14/85,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nectar's,Burlington,VT,USA,44.47613,-73.2117172,pub,43,4/20/13,1/18/13,4/20/12,2/16/08,1/31/08,11/11/06,2/11/06,11/12/05,6/18/05,4/16/05,2/8/94,2/7/94,1/27/91,1/20/91,6/28/89,3/14/89,3/13/89,3/12/89,8/22/88,8/21/88,7/25/88,7/24/88,6/21/88,6/20/88,6/19/88,5/24/88,5/23/88,5/22/88,5/21/88
"Patrick Gymnasium, University of Vermont",Burlington,VT,USA,44.4723989,-73.2114941,city,2,11/11/89,3/13/04,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Private Party, Stone High School Gr...",Burlington,VT,USA,44.4723989,-73.2114941,city,1,6/14/89,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sam's Tavern,Burlington,VT,USA,44.4723989,-73.2114941,city,7,9/13/88,9/12/88,8/30/88,8/29/88,8/18/88,7/12/88,7/11/88,,,,,,,,,,,,,,,,,,,,,,
The Border,Burlington,VT,USA,44.4723989,-73.2114941,city,1,8/24/88,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Flynn Theatre,Burlington,VT,USA,44.4757644,-73.2131213,theatre,5,2/4/01,2/14/98,10/19/97,3/18/97,9/19/94,4/4/94,5/18/92,,,,,,,,,,,,,,,,,,,,,,
The Front,Burlington,VT,USA,44.483723,-73.220587,residential,53,5/12/91,5/11/91,2/4/91,2/3/91,12/2/90,12/1/90,9/27/90,,,,,,,,,,,,,,,,,,,,,,
University of Vermont,Burlington,VT,USA,44.4731412,-73.1967288,parking,8,4/29/06,4/22/88,4/29/86,4/15/86,5/3/85,5/1/85,,,,,,,,,,,,,,,,,,,,,,,
